season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob,carry_share
2026,DEN-TE3-JustinJoly,Justin Joly,DEN,TE,17,0.0,0.0,305.086,31.2,0.0,0.0,1.2490308306095006,0.7039,
2026,IND-TE3-DrewOgletree,Drew Ogletree,IND,TE,17,0.0,0.0,295.096,27.704,0.0,0.0,1.2959480918252413,0.7024,
2026,LAC-TE3-CharlieKolar,Charlie Kolar,LAC,TE,17,0.0,0.0,294.536,31.185,0.0,0.0,1.2756548895396909,0.7042,
2026,ARI-WR3-KendrickBourne,Kendrick Bourne,ARI,WR,17,0.0,0.0,293.363,29.239,0.0,0.0,1.2192206248064759,0.7015,
2026,HOU-TE3-BrevinJordan,Brevin Jordan,HOU,TE,17,0.0,0.0,291.789,29.512,0.0,0.0,1.2522443805119805,0.6648,
2026,NO-TE3-OscarDelp,Oscar Delp,NO,TE,17,0.0,0.0,229.8704503265125,30.251,0.0,0.0,0.9989440593534485,0.6881,
2026,SF-TE3-LukeFarrell,Luke Farrell,SF,TE,17,0.0,0.0,237.1399284750381,23.07590217923922,0.0,0.0,1.053778215891541,0.6856,
2026,JAX-TE3-TannerKoziol,Tanner Koziol,JAX,TE,17,0.0,0.0,279.918,27.776,0.0,0.0,1.2709595127928195,0.693,
2026,DAL-WR3-RyanFlournoy,Ryan Flournoy,DAL,WR,17,0.0,0.0,210.91350767298655,24.413,0.0,0.0,0.9144860265371526,0.7144,
2026,TB-TE3-KoKieft,Ko Kieft,TB,TE,17,0.0,0.0,268.094,27.94,0.0,0.0,1.2293295416989511,0.6918,
2026,KC-WR3-TyquanThornton,Tyquan Thornton,KC,WR,17,0.0,0.0,267.882,24.079,0.0,0.0,1.1437287518102042,0.7138,
2026,SEA-TE3-EricSaubert,Eric Saubert,SEA,TE,17,0.0,0.0,212.18858646604343,22.043,0.0,0.0,1.0685260103646124,0.7009,
2026,PIT-TE3-RobertTonyan,Robert Tonyan,PIT,TE,17,0.0,0.0,267.304,27.319,0.0,0.0,1.2354160568890504,0.6818,
2026,CHI-TE3-SamRoush,Sam Roush,CHI,TE,17,0.0,0.0,265.493,28.135,0.0,0.0,1.1778670525835437,0.6566,
2026,LA-WR3-JordanWhittington,Jordan Whittington,LA,WR,17,0.0,0.0,227.60511254127172,22.173,0.0,0.0,0.9262478088904009,0.6734,
2026,TEN-TE3-KylenGranson,Kylen Granson,TEN,TE,17,0.0,0.0,262.337,30.239,0.0,0.0,1.2088036300146308,0.6795,
2026,ATL-TE3-CharlieWoerner,Charlie Woerner,ATL,TE,17,0.0,0.0,259.436,26.127,0.0,0.0,1.2191580976833913,0.6655,
2026,GB-TE3-JoshWhyle,Josh Whyle,GB,TE,17,0.0,0.0,254.36,24.388,0.0,0.0,1.2300712234958036,0.6868,
2026,BUF-TE3-JacksonHawes,Jackson Hawes,BUF,TE,17,0.0,0.0,254.191,25.035,0.0,0.0,1.1967039904157126,0.6607,
2026,DET-WR3-IsaacTeSlaa,Isaac TeSlaa,DET,WR,17,0.0,0.0,171.80198209659557,17.6992383597793,0.0,0.0,0.7220369312280316,0.6611,
2026,NYG-RB3-DevinSingletary,Devin Singletary,NYG,RB,17,0.0,376.8090624,81.233,10.799,0.0,2.5806053333333336,0.4037944002084349,0.7963,0.1728
2026,WAS-RB3-KaytronAllen,Kaytron Allen,WAS,RB,17,0.0,360.33228,64.306,8.662,0.0,1.8835682666666669,0.3593642522289299,0.7813,0.1584
2026,LV-TE3-IanThomas,Ian Thomas,LV,TE,17,0.0,0.0,245.538,28.326,0.0,0.0,1.1900052947126152,0.6955,
2026,LAC-WR3-Tre'Harris,Tre' Harris,LAC,WR,17,0.0,0.0,243.359,22.737,0.0,0.0,1.0540039189215906,0.6658,
2026,CLE-TE3-JackStoll,Jack Stoll,CLE,TE,17,0.0,0.0,243.332,26.88,0.0,0.0,1.1018827138161151,0.6202,
2026,BUF-RB3-TyJohnson,Ty Johnson,BUF,RB,17,0.0,185.78173042039336,79.263,9.694,0.0,0.8002632930969362,0.3731617106519139,0.8097,0.0794
2026,MIA-TE3-SeydouTraore,Seydou Traore,MIA,TE,17,0.0,0.0,240.297,25.985,0.0,0.0,1.226509968317265,0.697,
2026,NE-TE3-CJDippre,CJ Dippre,NE,TE,17,0.0,0.0,239.137,24.703,0.0,0.0,1.109384365759394,0.6329,
2026,CHI-RB3-RoschonJohnson,Roschon Johnson,CHI,RB,17,0.0,375.71973119999996,82.158,10.996,0.0,2.0321119999999997,0.3644962439919651,0.7819,0.1584
