season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob,ints_total,snap_share,target_share,carry_share,is_rookie,draft_round
2026,WAS-RB3-KaytronAllen,Kaytron Allen,WAS,RB,17,0.0,245.78403720112988,65.33739583333333,7.967975101626017,0.0,1.7961189503548396,1.1072655310050368,0.947179814033097,0.0,0.15,0.02,0.0967,,
2026,LAC-TE2-DavidNjoku,David Njoku,LAC,TE,17,0.0,0.0,304.28015625,25.786453919491525,0.0,0.0,3.0228737444995932,0.9495598873303583,0.0,0.3,0.07,0.0,,
2026,IND-TE2-MoAlie-Cox,Mo Alie-Cox,IND,TE,17,0.0,0.0,300.99248958333334,25.507838100282484,0.0,0.0,2.639669068814478,0.9269688896153905,0.0,0.3,0.07,0.0,,
2026,SF-TE2-JakeTonges,Jake Tonges,SF,TE,17,0.0,0.0,293.4088645833333,24.86515801553672,0.0,0.0,2.650013518342429,0.9278835390999827,0.0,0.3,0.07,0.0,,
2026,CHI-TE2-ColeKmet,Cole Kmet,CHI,TE,17,0.0,0.0,292.97048958333335,24.82800759180791,0.0,0.0,2.917360863576497,0.9442764412692521,0.0,0.3,0.07,0.0,,
2026,HOU-TE2-FosterMoreau,Foster Moreau,HOU,TE,17,0.0,0.0,292.85506250000003,24.818225635593222,0.0,0.0,2.944955403553104,0.9468225720133181,0.0,0.3,0.07,0.0,,
2026,JAX-TE2-NateBoerkircher,Nate Boerkircher,JAX,TE,17,0.0,0.0,289.0944583333333,24.499530367231635,0.0,0.0,2.9082180054761095,0.9448799925583095,0.0,0.3,0.07,0.0,,
2026,CIN-TE2-DrewSample,Drew Sample,CIN,TE,17,0.0,0.0,288.9834838709677,24.490125751776922,0.0,0.0,2.695890903351397,0.9193851408012454,0.0,0.3,0.0504,0.0,,
2026,TEN-TE2-DanielBellinger,Daniel Bellinger,TEN,TE,17,0.0,0.0,287.24485416666664,24.34278425141243,0.0,0.0,2.8922274965062154,0.9440926745537802,0.0,0.3,0.07,0.0,,
2026,TB-TE2-PayneDurham,Payne Durham,TB,TE,17,0.0,0.0,285.62085416666673,24.205157132768367,0.0,0.0,2.879783388686505,0.9435424965959343,0.0,0.3,0.07,0.0,,
2026,BUF-TE2-DawsonKnox,Dawson Knox,BUF,TE,17,0.0,0.0,278.64302083333337,23.613815324858756,0.0,0.0,2.560347951959009,0.9234623315079344,0.0,0.3,0.07,0.0,,
