season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob
2026,2b0252f9-f656-4c41-9f2d-1a9e06808a4f,E.Mitchell,KC,,4,0.0,0.0,22.888,2.708,0.0,0.0,0.0,0.02
2026,5e3a0956-5a2e-4aa6-bfdc-d3cf8f4ce3c2,J.Brownlee,KC,WR,4,0.0,0.0,22.888,2.708,0.0,0.0,0.056,0.054
2026,da35f0f0-d8b2-44df-8247-fd33ae3941f6,D.Duvernay,CHI,WR,4,0.0,0.0,22.656,2.68,0.0,0.0,0.0,0.02
2026,3857b399-5103-4bac-8e6f-abc1fbc21c3b,T.Benedet,CHI,OL,4,0.0,0.0,22.656,2.68,0.0,0.0,0.0,0.02
2026,5197b1dd-c28f-49ae-b08c-d8beb6bdcae1,G.Ricci,DET,TE,4,0.0,0.0,22.652,2.68,0.0,0.0,0.024,0.0248
2026,407ae3e7-477f-4c39-9982-fa181de093ed,R.McCloud,NYG,WR,4,0.0,0.0,22.632,2.676,0.0,0.0,0.0,0.02
2026,ecb77812-97e6-496e-8996-54691e841001,X.Gipson,PHI,,4,0.0,0.0,22.576,2.664,0.0,0.0,0.024,0.0232
2026,36467445-940d-4b35-97ab-edf17a674fff,D.Young,SEA,WR,4,0.0,0.0,22.548,2.668,0.0,0.0,0.0,0.02
2026,6705ba1e-91f0-4d99-81fe-b1a147c65a6d,E.Arroyo,SEA,TE,4,0.0,0.0,22.548,2.668,0.0,0.0,0.0,0.02
2026,e80a6410-8da7-42e6-a410-a9eec7de37ca,N.Kallerup,SEA,TE,4,0.0,0.0,22.548,2.668,0.0,0.0,0.024,0.0232
2026,fa295f18-8726-4e3e-9099-ee539b2aef71,J.Woods,NYJ,TE,4,0.0,0.0,22.504,2.66,0.0,0.0,0.0,0.02
2026,b8a66033-9726-4a5c-b7bf-c10e0dc2ea52,M.Moore,NYJ,DB,4,0.0,0.0,22.504,2.66,0.0,0.0,0.0,0.02
2026,3226bb94-fe96-4493-a4ab-dde33ae3d73c,C.Runyon,LV,TE,4,0.0,0.0,22.492,2.652,0.0,0.0,0.0,0.02
2026,0d4b90d7-5de5-47f3-a213-f10b8c403998,T.Patrick,JAX,WR,4,0.0,0.0,22.36,2.648,0.0,0.0,0.0,0.02
